title,artist
Angels,Robbie Williams
Bed of Roses,Bon Jovi
Bon Jovi Medley
Dos Bros,The Boss Hoss
Come Together,The Beatles
Dance with somebody,Mando Diao
Don't stop believin',Journey
For you,Manfred Mann
Hurra,Die Ärzte
Jailhouse Rock,Elvis
Je veux,Zaz
Jump,Van Halen
Ein Kompliment,Sportfreunde Stiller
Livin' la vida loca,Ricky Martin
Locked out of heaven,Bruno Mars
Man! I feel like a woman,Shania Twain
Narcotic,Liquido
Skandal im Sperrbezirk,Spider Murphy Gang
Something just like this,Coldplay ft. The Chainsmokers
Treasure, Bruno Mars
Umbrella,The Baseballs / Rihanna
Word up,Cameo / Gun
You're the one that I want,Grease
Zu spät,Die Ärzte
